Countries,ISO3,Ore,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,BRA,petalite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3697.00,968.00,1028.00,1996.00,1000.00,2487.00,2080.00,2293.00,1892.00,2000.00,1323.00,1614.00,2946.00,3500.00,1471.00,334.00,212.00,0.00,0.00,0.00,137.00,30.00,386.00,260.00,493.00,1077.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,BRA,spudomene,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6814.31,99.57,49.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,792.00,413.00,112.00,885.00,100.00,98.00,243.00,341.00,116.00,120.00,0.00,0.00,0.00,0.00,0.00,103.00,1721.00,3056.00,0.00,0.00,7005.00,6500.00,6523.00,9225.00,10629.00,9796.00,8897.00,12046.00,9755.00,9064.00,8924.00,8585.00,7991.00,14460.00,15000.00,15733.00,7820.00,7084.00,7982.00,8000.00,5781.00,8804.00,9000.00,9000.00,9000.00
Canada,CAN,non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.13,51.82,2172.21,2437.38,1747.52,1249.68,92.46,242.82,226.57,300.74,479.55,459.23,114.81,198.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500.00,7500.00,10000.00,15000.00,15000.00,9200.00,11300.00,10000.00,0.00,0.00,21000.00,22000.00,22500.00,22500.00,22500.00,22500.00,22500.00,22500.00,22500.00,22500.00,22500.00,22500.00,23000.00,22000.00,22000.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00
Canada,CAN,spudomene,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100.00,140000.00,0.00
Chile,CHL,non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2110.00,4508.00,4458.00,6139.00,7332.00,7508.00,9082.00,8575.00,10823.00,10369.00,10439.00,12943.00,14180.00,24246.00,28377.00,28000.00,35869.00,31320.00,35242.00,41667.00,43971.00,43595.00,50035.00,59637.00,56881.00,30538.00,52851.00,69597.00,71594.00,60646.00,62253.00,56375.00,78182.00,81378.00,97323.00,112607.00
Chile,CHL,spudomene,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,CHN,non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00,9000.00,10000.00,10000.00,10000.00,14000.00,14000.00,14000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15500.00,15500.00,15500.00,16000.00,49897.00,40640.00,66909.00,43122.00,46198.00,31967.00,34276.00,34000.00,35000.00,36000.00,37499.00,37000.00,38000.00,40000.00,40000.00,55000.00,58000.00,60000.00,61000.00,61000.00,3900.00,4800.00,7000.00,7100.00,7500.00
Belgian Congo,COD,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.84,1353.31,1810.51,2103.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,ESP,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,31.50,134.11,112.78,51.82,6.10,0.00,0.00,25.40,17.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,ESP,lepidolite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6751.00,8339.00,10326.00,9342.00,7000.00,7824.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
