Countries,ISO3,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Southern Rhodesia-,ZWE,,,,,,,,,,,,,,1592.072,1118.616,6968.744,24410.416,52354.48,76743.56,84858.352,58691.272,,14047.216,21805.392,19270.472,14656.816,20812.76,12056.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West Africa,NAM,,436.88,904.24,,401.32,731.52,1671.32,1153.16,1706.88,2997.2,1234.44,811.784,8453.12,10060.432,7179.056,7658.608,3789.68,1662.176,1033.272,799.592,945.896,1966.976,881.888,1286.256,1615.44,78.232,368.808,270.256,331.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,,,599.44,221.488,279.4,1100.328,5711.952,,,1001.776,,87.376,90.424,,153.416,274.32,103.632,,76.2,,249.936,600.456,391.16,,,,,,730,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1000,800,1000,1200,1200,905,700,600,130,1800,9380,14109,18264,20775,18970,15904,13289,14000,8740,7626,6838,13306,,9352,11571,16325,24606,28696,26185,28497,34755,34888,38500,40109,37534,20698,19940,17459,19275,40785,65743,76818,59912
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,1332,579,320,550,51,2,74,1,5,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6751,8339,10326,9342,7000,7824,,,,,,,,,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,
