ISO3,Countries,Ore,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MOZ,MozambiqueMozambiqueMozambiqueMozambique,amblygonitelepidolitespudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.88,442.978,558.8,2200.658,11423.902,0.0,0.0,2072.64,0.0,174.756,180.844,0.0,306.836,548.64,207.262,0.0,152.4,0.0,510.036,1211.076,784.356,0.0,0.0,0.0,0.0,0.0,1510.0,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAM,South West AfricaSouth West AfricaNamibiaNamibia'South West Africa-South West AfricaNamibia,amblygonitelepidolitelepidolitenondescript non descript lithium mineralspetalitespudomenetotal lithium ore ,1552.444,2503.422,2401.822,434.844,877.822,1463.04,3342.64,2306.32,3413.76,6258.5599999999995,3113.022,2103.12,17763.752,21484.338,17782.036,18832.578,13220.196,15463.52,10241.28,12230.604,16296.64,9428.49,9538.214,7426.969999999999,5313.68,1958.844,2533.902,4765.04,3767.334,0.0,73.156,71.12,0.0,0.0,0.0,0.0,0.0,102746.0,11784.0,5096.0,0.0,5400.0,0.0,2526.0,2080.0,1560.0,1600.0,3746.0,1710.0,1854.0,3284.0,2796.0,2536.0,2304.0,2324.0,1478.0,2724.0,5222.0,3942.0,1264.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0
NGA,Nigeria,nondescript non descript lithium minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.0,133.0
PRT,PortugalPortugalPortugalPortugal,amblygonitelepidolitephyllitetotal lithium ore ,0.0,0.0,0.0,40.64,0.0,180.844,199.13799999999998,16.258,99.564,0.0,0.0,36.578,20.32,34.542,20.32,32.516000000000005,18.284,8.123999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,2200.0,2000.0,1600.0,2000.0,2400.0,2400.0,1810.0,1400.0,1200.0,260.0,3600.0,18760.0,28218.0,36528.0,41550.0,37940.0,31808.0,26578.0,28000.0,17480.0,15252.0,13676.0,26612.0,0.0,18704.0,23142.0,32650.0,49212.0,57392.0,52370.0,56994.0,69510.0,69776.0,77000.0,80218.0,75068.0,41396.0,39880.0,34918.0,38550.0,81570.0,131486.0,153636.0,119824.0
RUS,Russia,nondescript non descript lithium minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,50000.0,50000.0,50000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,50000.0,45000.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA,"Rwanda, BurundiRwandaRwanda & Burundi",amblygoniteamblygonitetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,SurinamSurinamSurinam,amblygonitespudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.022,849.3779999999999,0.0,861.564,1800.356,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,732.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,Sweden,petalite,0.0,0.0,219.46,421.64,221.49,311.91,147.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,Uganda,amblygonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.2,264.16,19.3,0.0,16.26,7.11,0.0,0.0,0.0,0.0,0.0,0.0,23.37,20.32,47.75,0.0,76.2,0.0,50.8,44.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States,nondescript,808.74,1805.43,1824.74,3476.75,4903.22,7397.5,12082.27,2218.94,2780.79,2213.86,3520.44,4389.12,8441.94,10871.2,14161.01,24710.14,34317.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,5000.0,5000.0,3500.0,4500.0,5000.0,4500.0,4000.0,4000.0,4000.0,4500.0,4000.0,4000.0,3500.0,3500.0,0.0,3500.0,4000.0,4000.0,0.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,500.0,500.0,500.0,500.0,1500.0,1000.0,1000.0,1000.0,870.0,900.0,900.0,900.0,900.0,900.0,900.0
WE,Sweden,spudomene,0.0,0.0,191.01,113.79,34.54,84.33,110.74,20.32,48.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,Union of South AfricaSouth AfricaSouth Africa,amblygoniteamblygonitetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.418,0.0,0.0,109.72399999999999,103.636,772.16,1294.382,54.861999999999995,0.0,18.284,312.924,471.422,2292.098,755.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZWE,Southern RhodesiaSouthern Rhodesia'Southern Rhodesia-ZimbabweSouthern RhodesiaSouthern RhodesiaZimbabwe,amblygoniteeucryptitelepidolitenondescript non descript lithium mineralspetalitespudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.72400000000005,3529.582,2684.276,35637.208,98062.294,149051.272,187260.98599999998,198119.99,154822.142,0.0,159920.446,100380.8,82267.556,89905.85,121854.968,86674.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,81444.0,16100.0,33376.0,26394.0,42060.0,32888.0,19572.0,38386.0,45096.0,55820.0,65520.0,29918.0,30146.0,41294.0,38106.0,18372.0,25674.0,36128.0,50558.0,66996.0,61858.0,99666.0,56110.0,73342.0,75828.0,72206.0,58640.0,24262.0,27420.0,0.0,0.0,0.0,0.0,0.0,84000.0,88000.0,94000.0,88000.0,88000.0,88000.0,96000.0,102000.0,140000.0,130000.0
