Countries,ISO3,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
South West Africa,NAM,,,40.64,10.16,15.24,,,,,101.6,162.56,121.92,163.576,157.48,1064.768,1449.832,1756.664,4787.392,3333.496,4830.064,6717.792,2527.808,3741.928,2304.288,913.384,784.352,723.392,1208.024,1219.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,5.08,,,,,15.24,,,,69.088,,1.016,97.536,,,211.328,314.96,947.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Rhodesia,ZWE,,,,,,,,,,,,,,,101.6,10504.424,24227.536,21961.856,12268.2,9011.92,11943.08,,57727.088,25125.68,19689.064,27165.808,33064.704,20354.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,,,219.456,421.64,221.488,311.912,147.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3697,968,1028,1996,1000,2487,2080,2293,1892,2000,1323,1614,2946,3500,1471,334,212,,,,137,30,386,260,493,1077,187,
