,IS03,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1801-1900
10,BIH,'Jugoslavia'Jugoslavia'Jugoslavia (estimated)YugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslavia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6807.2,8142.224,10160.0,10613.136,10363.2,13208.0,20320.0,23368.0,22352.0,18186.4,34036.0,42976.8,41656.0,41656.0,44704.0,49479.2,41656.0,46949.36,-1,-1,-1,-1,20320.0,24384.0,33528.0,41656.0,38608.0,43290.744,35948.112,36968.176,35315.144,32148.272,29117.544,31829.248,33528.0,35233.864,34598.864,33275.016,37906.96,51714.4,62089.792,63180.976,62546.992,62218.824,63148.464,70482.968,81673.192,90808.0,94392.0,103133.0,111797.0,112080.0,114894.0,120130.0,116218.0,123319.0,96000.0,114786.0,110961.0,119299.0,129506.0,137600.0,142479.0,138544.0,130470.0,103523.0,139631.0,140145.0,121842.0,97811.0,68007.0,90800.0,74619.0,69467.0,87404.0,84627.0,62777.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
11,BLR,Soviet UnionSoviet UnionSoviet UnionSoviet UnionSoviet UnionUSSRUSSRUSSRUSSRUSSRUSSRUSSR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32004.0,32715.2,44094.4,63246.0,83312.0,91440.0,101600.0,144272.0,-1,-1,-1,-1,-1,121920.0,148336.0,161544.0,195072.0,234696.0,255016.0,300736.0,334264.0,345440.0,360680.0,406400.0,431800.0,472440.0,436880.0,436880.0,457200.0,477520.0,508000.0,558800.0,685800.0,711200.0,762000.0,863600.0,863600.0,889000.0,925000.0,990000.0,1050000.0,1100000.0,2300000.0,1130000.0,1100000.0,1140000.0,1150000.0,-1,980000.0,1000000.0,1010000.0,1020000.0,1020000.0,1030000.0,1030000.0,1010000.0,990000.0,950000.0,900000.0,840000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
12,BOL,BoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBolivia,3699.256,4056.888,8280.4,8890.0,10730.992,8618.728,-1,-1,-1,-1,10046.208,7436.104,6908.8,8143.24,8728.456,8484.616,7187.184,3986.784,2048.256,2016.76,1848.104,1621.536,1913.128,3249.168,3699.256,2884.424,4055.872,6659.88,7273.544,6375.4,6010.656,6170.168,6097.016,6126.48,6240.272,6616.192,5073.904,4704.08,4845.304,4703.064,4463.288,3113.024,3497.072,4442.968,3918.712,2874.264,2232.152,2270.76,2080.768,2362.2,2993.136,4680.712,4730.496,5701.792,6328.664,6898.64,7899.4,700.0,7809.0,8114.0,8230.0,7919.0,5882.0,4680.0,3670.0,3267.0,1797.0,1882.0,2637.0,2270.0,1982.0,1600.0,1665.0,338.0,9.0,153.0,298.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.0,218.0,606.0,567.0,620.0,2100.0,4176.0,8700.0,7549.0,10746.0,9479.0,8718.0,7219.0,5216.0,4478.0,55108.89292
13,BRA,BrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazil,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8128.0,8128.0,1219.2,1117.6,1117.6,1727.2,1625.6,1524.0,2032.0,2032.0,2032.0,2946.4,3556.0,3759.2,3920.0,5418.0,4455.0,3412.0,4100.0,1922.0,54.0,25.0,59.0,-1,402.0,11777.0,24482.0,40000.0,35000.0,40999.0,40183.0,40332.0,44845.0,44440.0,34441.0,37947.0,39848.0,43568.0,39674.0,48933.0,46203.0,39952.0,34446.0,31371.0,786.0,32734.0,32711.0,26275.0,103153.0,133325.0,147836.0,205728.0,222000.0,217000.0,213548.0,213760.0,223141.0,270979.0,239900.0,359463.0,337600.0,384542.0,385800.0,363300.0,
14,BWA,BotswanaBotswanaBotswanaBotswanaBotswanaBotswanaBotswanaBotswanaBotswana,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6504.0,12473.0,11783.0,14614.0,14563.0,15554.0,17815.0,18375.0,20266.0,21517.0,21692.0,21337.0,18934.0,24428.0,23403.0,20612.0,20576.0,20413.0,20132.0,780.0,20461.0,23299.0,19820.0,22124.0,20960.0,18722.0,19209.0,21590.0,24289.0,21195.0,26704.0,24255.0,19996.0,23146.0,24382.0,48026.0,31929.0,35768.0,48500.0,47700.0,9162.0,12415.0,1239.0,1462.0,-1,
15,CAF,'French Equatorial Africa'French Equatorial Africa'French Equatorial Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,384.048,499.872,235.712,184.912,304.8,152.4,152.4,1524.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16,CAN,CanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanada'New Caledonia'New Caledonia (d)'Newfoundland'Newfoundland'Newfoundland'Newfoundland --'Newfoundland :.,34914.84,34351.976,45712.888,53135.784,49542.192,53870.352,34074.608,36810.696,-1,-1,39580.312,47388.272,50551.08,60367.672,63567.056,91936.824,112540.288,137699.49599999998,132580.888,114464.592,139281.408,169742.104,193002.408,196308.472,248865.136,267155.168,286488.632,306785.26399999997,298439.83999999997,279469.088,266557.76,253156.71999999997,220100.144,171343.32,208742.28,222504.0,238992.664,239675.416,245367.048,233719.624,229735.888,274620.736,295723.056,321908.424,313896.248,313067.192,358565.704,398473.168,393780.264,414914.08,416138.36,441687.712,460716.376,455881.232,556363.632,574505.328,506392.688,610281.0,654470.0,719673.0,823942.0,821380.0,733826.0,730930.0,759423.0,659380.0,643754.0,716363.0,691328.0,612455.0,653040.0,707112.0,738637.0,698527.0,802181.0,776482.0,723052.0,793735.0,811134.0,768582.0,732591.0,617265.0,726293.0,688426.0,659500.0,705766.0,614210.0,633855.0,633531.0,603498.0,557082.0,563471.0,595383.0,603295.0,596249.0,607957.0,494524.0,522172.0,566779.0,580082.0,652595.0,695513.0,714647.0,693059.0,597194.0,548011.0,560781.0,63343.92015
17,CAN,CanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanada'New Caledonia'New Caledonia (d)'Newfoundland'Newfoundland'Newfoundland'Newfoundland --'Newfoundland :.,34914.84,34351.976,45712.888,53135.784,49542.192,53870.352,34074.608,36810.696,-1,-1,39580.312,47388.272,50551.08,60367.672,63567.056,91936.824,112540.288,137699.49599999998,132580.888,114464.592,139281.408,169742.104,193002.408,196308.472,248865.136,267155.168,286488.632,306785.26399999997,298439.83999999997,279469.088,266557.76,253156.71999999997,220100.144,171343.32,208742.28,222504.0,238992.664,239675.416,245367.048,233719.624,229735.888,274620.736,295723.056,321908.424,313896.248,313067.192,358565.704,398473.168,393780.264,414914.08,416138.36,441687.712,460716.376,455881.232,556363.632,574505.328,506392.688,610281.0,654470.0,719673.0,823942.0,821380.0,733826.0,730930.0,759423.0,659380.0,643754.0,716363.0,691328.0,612455.0,653040.0,707112.0,738637.0,698527.0,802181.0,776482.0,723052.0,793735.0,811134.0,768582.0,732591.0,617265.0,726293.0,688426.0,659500.0,705766.0,614210.0,633855.0,633531.0,603498.0,557082.0,563471.0,595383.0,603295.0,596249.0,607957.0,494524.0,522172.0,566779.0,580082.0,652595.0,695513.0,714647.0,693059.0,597194.0,548011.0,560781.0,48091.65154
18,CHL,ChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChile,42249.344,44650.152,52324.0,71265.288,102493.064,106778.552,69900.8,107696.0,-1,-1,205955.392,213785.704,208280.0,203077.064,242626.896,289875.976,320615.056,220313.504,224536.0,103225.6,162560.0,264160.0,267069.824,256196.592,416560.0,351465.896,340964.52,363023.912,468664.544,484330.248,497131.848,498303.296,470160.096,350861.376,426649.896,444928.752,371076.728,362740.448,379708.664,408613.864,363118.4,373982.488,445880.744,502768.616,497840.0,466303.36,545999.416,536231.592,538243.272,586232.0,600456.0,633517.656,579120.0,660400.0,660400.0,658368.0,686816.0,685600.0,708300.0,716900.0,735400.0,899700.0,828300.0,1005200.0,1056200.0,1035500.0,1060600.0,1067900.0,1081100.0,1242200.0,257100.0,1290000.0,1356200.0,1401100.0,1418100.0,1451000.0,1609300.0,1588400.0,1814300.0,1932700.0,2055400.0,2219900.0,2488600.0,3115800.0,3392000.0,3686900.0,4382600.0,4602000.0,4739000.0,4580600.0,4904200.0,5412500.0,5320500.0,5360800.0,5557000.0,5327600.0,5389600.0,5418900.0,5262800.0,5433900.0,5776000.0,5749600.0,5772100.0,5552600.0,5503500.0,5831600.0,5787400.0,1917216.878
19,CHN,ChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChina,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,249.936,-1,-1,-1,-1,-1,10.16,10.16,12.192,439.928,504.952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30480.0,40640.0,40640.0,60960.0,76200.0,76200.0,76200.0,76200.0,86360.0,81280.0,86360.0,101600.0,120000.0,130000.0,135000.0,140000.0,150000.0,140000.0,150000.0,155000.0,160000.0,160000.0,165000.0,170000.0,175000.0,175000.0,180000.0,270000.0,300000.0,350000.0,370000.0,380000.0,557000.0,304000.0,334300.0,345700.0,346000.0,441900.0,436400.0,495500.0,486800.0,520100.0,592600.0,587000.0,568100.0,604400.0,650000.0,776000.0,889000.0,946200.0,1092700.0,1029000.0,1155800.0,1271900.0,1551500.0,1681300.0,1635000.0,1712065.0,1900188.0,1706400.0,1615234.0,1683700.0,
