,IS03,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1801-1900
20,CIV,'French West Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.296,138.176,97.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
21,COD,Belgian CongoBelgian CongoBelgian CongoBelgian CongoBelgian CongoBelgian CongoBelgian CongoBelgian CongoBelgian CongoDemocratic Republic CongoDemocratic Republic CongoDemocratic Republic CongoDemocratic Republic CongoDemocratic Republic CongoZaireZaireZaireZaireZaire,5409.184,10334.752,14035.024,22157.944,27487.88,20231.608,22996.144,20320.0,-1,-1,56460.136,85633.56,89294.208,80634.84,89151.968,112450.88,136985.248,138942.064,119888.0,53848.0,66592.704,110079.536,107676.696,95662.496,150581.36,123936.76,122643.392,148822.664,162159.696,165932.104,156842.968,165476.936,160214.056,143878.808,150833.328,155473.4,141392.656,175912.272,191949.832,205738.984,214105.744,223781.112,235096.304,249952.256,242232.688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,385679.0,407700.0,438501.0,488514.0,494600.0,464928.0,443948.0,452716.0,472533.0,451548.0,462202.0,506481.0,505385.0,503966.0,500700.0,504235.0,502600.0,501864.0,465074.0,440600.0,352400.0,236100.0,147300.0,47500.0,30000.0,34958.0,40165.0,39651.0,38236.0,33000.0,33000.0,34100.0,28000.0,56900.0,69600.0,97500.0,142300.0,148400.0,242900.0,293000.0,378300.0,499198.0,619942.0,922016.0,1065744.0,1039007.0,1023687.0,1094638.0,1225227.0,1420386.0,
22,COG,CongoCongoCongoCongoCongo Republic Congo RepublicRepublic of CongoRepublic of Congo'French Equatorial Africa'French Equatorial Africa'French Equatorial Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,384.048,499.872,235.712,184.912,304.8,152.4,152.4,1524.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237550.96,282306.776,302283.368,295383.712,297812.968,271249.648,276984.968,288652.712,315649.864,319413.12799999997,325007.224,356897.43200000003,269.0,2070.0,6.0,927.0,1840.0,918.0,408.0,1015.0,608.0,1000.0,1300.0,245.0,100.0,100.0,-1,100.0,700.0,320.0,520.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23,COL,ColombiaColombiaColombiaColombiaColombiaColombiaColombia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260.0,310.0,400.0,900.0,442.0,315.0,293.0,540.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2747.0,2222.0,1145.0,1800.0,2100.0,2018.0,2000.0,1700.0,1500.0,1600.0,1800.0,600.0,840.0,1050.0,1140.0,711.0,808.0,781.0,659.0,3991.0,5463.0,8493.0,9355.0,9918.0,7641.0,
24,CUB,CubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCubaCuba,2878.328,4633.976,11056.112,15779.496,21057.616,16787.368,9712.96,-1,-1,-1,7943.088,11555.984,10761.472,11823.192,14094.968,17116.552,14955.52,14010.64,11866.88,5926.328,7416.8,5791.2,6959.6,11630.152,13190.728,14430.248,9963.912,9558.528,9836.912,8914.384,6404.864,6583.68,9680.448,12791.44,11220.704,15240.0,17272.0,20558.76,21206.968,17331.944,15426.944,15820.136,17695.672,14556.232,13884.656,12692.888,9019.032,11845.544,10160.0,6604.0,5080.0,6096.0,6096.0,6096.0,6400.8,6807.2,7213.6,400.0,-1,1827.0,100.0,2500.0,2777.0,2898.0,2583.0,2800.0,2500.0,3350.0,2907.0,2645.0,2667.0,2700.0,3076.0,3257.0,3461.0,2951.0,2759.0,2000.0,-1,1500.0,2000.0,2000.0,1858.0,2362.0,2208.0,1351.0,1090.0,1346.0,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142165.1543
25,CYP,CyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprusCyprus,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1249.68,2820.416,3520.44,3352.8,4064.0,4978.4,5892.8,5181.6,3860.8,3251.2,4297.68,5065.776,12427.712,16612.616,27432.0,36576.0,31089.6,9144.0,91.44,91.44,91.44,132.08,182.88,6096.0,15240.0,15138.4,26416.0,21132.8,24079.2,26818.336,21713.952,27267.408,23747.984,35829.24,39619.936,33214.056,36266.12,35465.512,28652.216,25159.208,26307.288,16794.48,19263.36,24736.552,15443.2,21915.12,19161.76,19140.0,16560.0,16767.0,14217.0,11900.0,9866.0,7900.0,6800.0,4678.0,1200.0,-1,259.0,841.0,1148.0,1267.0,1065.0,559.0,97.0,383.0,485.0,472.0,226.0,200.0,103.0,0,-1,1700.0,3900.0,4900.0,5000.0,5200.0,4600.0,3700.0,2500.0,-1,-1,900.0,2900.0,3000.0,2500.0,2595.0,3660.0,4328.0,3631.0,3088.0,2121.0,1754.0,1293.0,908.0,703.0,
26,CZE,CzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakiaCzcchoslovakia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,590.296,-1,919.48,1542.288,1624.584,1359.408,2338.832,1687.576,67.056,-1,450.088,243.84,346.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10700.0,8500.0,9300.0,8200.0,8000.0,11500.0,9200.0,9300.0,9800.0,10000.0,10100.0,8500.0,9400.0,9700.0,8000.0,2884.0,1550.0,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
27,DEU,'German Democratic Republic'German Democratic Republic'German Democratic Republic'German Democratic Republic'German Democratic Republic'Germany'Germany'Germany'Germany'Germany'Germany'Germany (Federal)'Germany ... ...'Germany Federal Republic of'Germany Federal Republic of'Germany Federal Republic of'Germany Federal Republic ofGermany-'East (b)Germany-'East (b)Germany-'East (b)Germany-'Federal RepublicGermany-'Federal RepublicGermany-'Federal Republic,25300.432,30469.84,34987.992,44985.432,44985.432,32874.712,-1,-1,-1,-1,18460.72,22936.2,24444.96,27686.0,27269.44,26211.784,28981.4,26970.736,29825.696,30739.08,31483.808,27936.952,27418.792,26904.696,29423.36,30480.0,30480.0,30480.0,24384.0,24384.0,23368.0,17272.0,-1,468.376,238.76,363.728,867.664,1361.44,1669.288,13533.119999999999,17901.920000000002,23086.568000000003,22547.072,22313.392,23443.184,19634.2,22101.048,22098.0,21978.112,22164.04,22601.936,21901.912,21295.36,21491.448,21509.736,21658.072,21763.736,19477.0,16484.0,21321.0,19436.0,19734.0,18461.0,17613.0,18200.0,16800.0,15900.0,13074.0,13400.0,14300.0,13200.0,13000.0,13500.0,12300.0,11500.0,7100.0,4600.0,3564.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,480246.824
28,DOM,Dominican RepublicDominican Republic,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10015.0,11777.0,11737.0,10379.0,9262.0,7324.0,9725.0,9618.0,8588.0,6047.0,
29,DZA,AlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeriaAlgeria,-1,31.496,-1,13.208,283.464,176.784,40.64,-1,-1,-1,531.368,2063.496,1749.552,477.52,-1,-1,25.4,1.016,-1,18.288,17.272,140.208,12.192,200.152,-1,508.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.816,139.192,214.376,67.056,145.288,431.8,456.184,59.944,118.872,608.584,779.272,1016.0,1039.368,971.296,1061.72,1049.528,1046.48,-1,574.0,514.0,428.0,353.0,400.0,378.0,400.0,400.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3307.622505
30,ECU,EcuadorEcuadorEcuadorEcuadorEcuadorEcuadorEcuadorEcuadorEcuadorEcuador,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1415.288,2948.432,2743.2,3687.064,3824.224,3824.224,2078.736,92.456,338.328,709.168,526.288,-1,-1,2.032,-1,15.24,-1,-1,47.752,134.112,100.584,100.584,157.48,384.048,183.896,129.032,223.52,414.528,556.768,533.4,510.0,565.0,438.0,481.0,-1,239.0,267.0,765.0,507.0,200.0,923.0,825.0,25.0,8.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,700.0,1400.0,1800.0,2600.0,3200.0,1800.0,1000.0,8200.0,8000.0,6100.0,
31,ERI,EritreaEritrea,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21800.0,88900.0,61600.0,25300.0,7900.0,17300.0,16008.0,
32,ESP,SpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpainSpain,48056.8,31605.728,31254.192,37407.088,44742.608,18752.312,63063.12,-1,-1,-1,33397.952,26282.904,30480.0,44169.584,50800.0,53848.0,64008.0,62992.0,53848.0,32512.0,29464.0,30480.0,30480.0,25400.0,27432.0,22352.0,15240.0,11176.0,5588.0,7112.0,8128.0,6096.0,7112.0,8636.0,8128.0,9144.0,10160.0,12192.0,13208.0,17272.0,14224.0,16256.0,16256.0,17272.0,17272.0,8576.056,8903.208,8175.752,9583.928,7893.304,6689.344,9871.456,8775.192,79903.32,8550.656,8364.728,10199.624,9522.0,34032.0,30170.0,23424.0,23700.0,30020.0,34867.0,34750.0,33948.0,-1,48483.0,56423.0,47614.0,54818.0,63105.0,60960.0,51084.0,16213.0,13830.0,14165.0,13300.0,7716.0,818.0,3518.0,4000.0,24519.0,38398.0,38887.0,39438.0,3500.0,24804.0,9800.0,1248.0,635.0,1308.0,7358.0,8700.0,6281.0,7071.0,17663.0,54335.0,68511.0,97452.0,104600.0,103900.0,112690.0,167736.0,198353.0,187714.0,170556.0,1350969.147
33,EST,Soviet UnionSoviet UnionSoviet UnionSoviet UnionSoviet UnionUSSRUSSRUSSRUSSRUSSRUSSRUSSR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32004.0,32715.2,44094.4,63246.0,83312.0,91440.0,101600.0,144272.0,-1,-1,-1,-1,-1,121920.0,148336.0,161544.0,195072.0,234696.0,255016.0,300736.0,334264.0,345440.0,360680.0,406400.0,431800.0,472440.0,436880.0,436880.0,457200.0,477520.0,508000.0,558800.0,685800.0,711200.0,762000.0,863600.0,863600.0,889000.0,925000.0,990000.0,1050000.0,1100000.0,2300000.0,1130000.0,1100000.0,1140000.0,1150000.0,-1,980000.0,1000000.0,1010000.0,1020000.0,1020000.0,1030000.0,1030000.0,1010000.0,990000.0,950000.0,900000.0,840000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
34,FIN,'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland'Finland (d)'Finland (d)'Finland (d)'Finland ..'Finland .. ..,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,506.984,-1,-1,990.6,824.992,-1,4709.16,5131.816,6239.256,5346.192,5671.312,8804.656,11562.08,11948.16,12805.664,13309.6,12395.2,15748.0,16560.8,15646.4,15443.2,15849.6,16060.928,14203.68,15601.696,18378.424,18716.752,15446.248,18306.288,18680.176,18772.632,20239.736,21503.64,21044.408,26024.84,28865.576,29362.4,28448.0,34036.0,35153.6,33934.4,32308.8,29768.8,26385.52,28831.032,29972.0,33020.0,30900.0,28500.0,34800.0,38213.0,36667.0,38000.0,700.0,46746.0,46818.0,41100.0,53000.0,41892.0,41739.0,38570.0,29464.0,30415.0,27463.0,21593.0,18420.0,23820.0,17482.0,16224.0,15351.0,13657.0,9500.0,9049.0,9261.0,8500.0,9500.0,10500.0,11500.0,11600.0,14400.0,14900.0,15500.0,15000.0,13000.0,13600.0,13300.0,14600.0,14700.0,14000.0,25446.0,38763.0,42790.0,41085.0,47488.0,53144.0,46755.0,32592.0,
35,FRA,'France'France'France'France'France'France'France'France'France'France'France (d)'France (d)'France (d)'France (d)'France (ore)'France ..,-1,11.176,10.16,40.64,54.864,23.368,-1,-1,-1,-1,29.464,117.856,2778.76,146.304,114.808,-1,596.392,416.56,203.2,434.848,225.552,-1,595.376,531.368,591.312,599.44,556.768,644.144,560.832,316.992,149.352,82.296,-1,22.352,55.88,94.488,67.056,42.672,-1,44.704,16.256,-1,26.416,17.272,6.096,686.816,537.464,561.848,364.744,224.536,239.776,267.208,283.464,433.832,405.384,391.16,389.128,250.0,248.0,237.0,185.0,200.0,183.0,188.0,128.0,200.0,-1,100.0,98.0,137.0,114.0,79.0,253.0,294.0,291.0,509.0,1027.0,483.0,372.0,149.0,72.0,174.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
36,GAB,'French Equatorial Africa'French Equatorial Africa'French Equatorial Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,384.048,499.872,235.712,184.912,304.8,152.4,152.4,1524.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
37,GBR,'Great Britain'Great Britain'Great BritainUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited Kingdom,427.736,346.456,238.76,282.448,189.992,181.864,146.304,108.712,-1,-1,89.408,122.936,96.52,109.728,179.832,69.088,69.088,48.768,67.056,61.976,40.64,14.224,50.8,62.992,36.576,36.576,38.608,28.448,24.384,17.272,23.368,27.432,20.32,22.352,20.32,-1,-1,-1,-1,16.256,11.176,16.256,16.256,9.144,11.176,13.208,11.176,16.256,14.224,6.096,-1,-1,-1,-1,-1,-1,-1,-1,-1,238.0,459.0,434.0,652.0,552.0,453.0,135.0,-1,200.0,607.0,649.0,652.0,660.0,592.0,602.0,750.0,732.0,508.0,955.0,294.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,878935.5717
38,GEO,'Georgia'Georgia'Georgia'Georgia'Georgia'GeorgiaSoviet UnionSoviet UnionSoviet UnionSoviet UnionSoviet UnionUSSRUSSRUSSRUSSRUSSRUSSRUSSR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32004.0,32715.2,44094.4,63246.0,83312.0,91440.0,101600.0,144272.0,-1,-1,-1,-1,-1,121920.0,148336.0,161544.0,195072.0,234696.0,255016.0,300736.0,334264.0,345440.0,360680.0,406400.0,431800.0,472440.0,436880.0,436880.0,457200.0,477520.0,508000.0,558800.0,685800.0,711200.0,762000.0,863600.0,863600.0,889000.0,925000.0,990000.0,1050000.0,1100000.0,2300000.0,1130000.0,1100000.0,1140000.0,1150000.0,-1,980000.0,1000000.0,1010000.0,1020000.0,1020000.0,1030000.0,1030000.0,1010000.0,990000.0,950000.0,900000.0,840000.0,6000.0,5000.0,3000.0,5800.0,900.0,6000.0,3500.0,1000.0,9000.0,11500.0,13000.0,14700.0,12000.0,9500.0,14600.0,11000.0,18700.0,16600.0,10600.0,10000.0,6800.0,10000.0,6800.0,13000.0,14000.0,15000.0,15704.0,900.0,
39,GIN,'French West Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.296,138.176,97.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
40,GRC,'Greece'Greece'Greece'Greece'Greece'Greece,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.032,-1,66.04,-1,-1,142.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2500.0,2600.0,3500.0,300.0,-1,100.0,100.0,100.0,200.0,-1,300.0,300.0,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
41,GTM,'Guatemala'Guatemala,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3300.0,3500.0,2500.0,2821.0,2840.0,813.0,726.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
42,HND,'Honduras'Honduras'Honduras'Honduras'Honduras,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.296,-1,-1,-1,40.64,21.336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200.0,364.0,489.0,1000.0,-1,269.0,454.0,758.0,800.0,-1,3329.0,424.0,306.0,538.0,244.0,1388.0,-1,1600.0,1000.0,1000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
43,HRV,'Jugoslavia'Jugoslavia'Jugoslavia'Jugoslavia (estimated)YugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslavia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6807.2,8142.224,10160.0,21226.272,20726.4,26416.0,20320.0,23368.0,22352.0,18186.4,34036.0,42976.8,41656.0,41656.0,44704.0,49479.2,41656.0,46949.36,-1,-1,-1,-1,20320.0,24384.0,33528.0,41656.0,38608.0,43290.744,35948.112,36968.176,35315.144,32148.272,29117.544,31829.248,33528.0,35233.864,34598.864,33275.016,37906.96,51714.4,62089.792,63180.976,62546.992,62218.824,63148.464,70482.968,81673.192,90808.0,94392.0,103133.0,111797.0,112080.0,114894.0,120130.0,116218.0,123319.0,96000.0,114786.0,110961.0,119299.0,129506.0,137600.0,142479.0,138544.0,130470.0,103523.0,139631.0,140145.0,121842.0,97811.0,68007.0,90800.0,74619.0,69467.0,87404.0,84627.0,62777.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
44,HTI,'Haiti'Haiti'Haiti,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,914.4,3454.4,6112.256,5944.616,5029.2,3959.352,2729.992,2350.008,1597.152,1796.288,4848.0,6500.0,1400.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
45,HUN,Hungary'Hungary'Hungary'Hungary (estimated)'Hungary (smelter),4134.104,3309.112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.32,30.48,30.48,278.384,314.96,-1,243.84,120.904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400.0,262.0,304.0,203.0,116.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111466.4247
46,IDN,'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Indonesia'Netherlands East Indies,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.472,94.488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000.0,37900.0,64600.0,3500.0,69100.0,57100.0,58000.0,56000.0,58990.0,62550.0,75136.0,78608.0,82510.0,88750.0,100490.0,105346.0,126200.0,135035.0,162366.0,267401.0,369281.0,378000.0,434000.0,618000.0,525900.0,548300.0,809100.0,790300.0,1012000.0,1048700.0,1171726.0,1005837.0,840318.0,1063849.0,817796.0,796899.0,655046.0,988530.0,862500.0,538300.0,398100.0,509300.0,377100.0,578600.0,728000.0,622030.0,651136.0,351000.0,
47,IND,'India'India'India'India'India'India'India'India'India'India'India'India (a)'India (a)'India (a)'India (b)'India (estimated)'India (estimated)'India (estimated)'India (estimated) 'India ...'India : .,145.288,203.2,338.328,101.6,763.016,138.176,1247.648,-1,-1,-1,247.904,1253.744,-1,5892.8,6096.0,5689.6,7620.0,11785.6,11582.4,11379.2,10871.2,11684.0,8839.2,9042.4,11176.0,6096.0,7620.0,7924.8,6908.8,6705.6,6908.8,6705.6,6654.8,6604.0,6451.6,6563.36,6543.04,7294.88,7701.28,6776.72,5289.296,7845.552,8006.08,8339.328,8538.464,8638.032,8501.888,9131.808,9052.56,9900.92,10160.0,10208.768,10160.0,10160.0,9144.0,9144.0,10160.0,9700.0,11096.0,15669.0,15785.0,20277.0,25155.0,25400.0,30200.0,26600.0,33100.0,26819.0,25200.0,24000.0,43800.0,47000.0,48000.0,49160.0,54085.0,51463.0,53342.0,51566.0,50430.0,49036.0,49416.0,944.0,46600.0,47800.0,37200.0,48000.0,34100.0,37511.0,38177.0,32780.0,29523.0,32500.0,28640.0,30051.0,47190.0,29996.0,26500.0,31778.0,31375.0,29355.0,33071.0,26686.0,32493.0,31999.0,33708.0,36900.0,30466.0,
