Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,862.584,1828.8,,,2540,,8737.6,15240,,,,13411.2,20320,25400,25400,25400,25400,25400,36576,39624,41656,43688,46736,49784,52832,52832,57912,76200,81280,81280,81280,81280,91440,91440,101600,106680,2990,3271,3398,4122,3536,3190,5273,4241,3600,3500,5838,6567,14451,15561,21670,20300,21240,22092,18667,20963,24054,26376,29372,30000,,29124,25245,31936,36764,43784,45317,45456,44928,45160,47446,74198,82492,58317,67116,67000,54100,74600,89600,77400,85600,182900,134600,83200,65300,55700,,,,
SouthernRhodesia(estimated),ZWE,,,,,,,,,,,,,,,,,,,,,314.96,,5.08,477.52,103.632,374.904,25.4,,,,,,,,,,,,,,,,,,,71.12,71.12,96.52,101.6,106.68,1122.68,1016,1113.536,1383.792,1070.864,1076.96,1117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burma,MMR,,,,,,,,,,,,,,,,,,,,,,,12.192,14.224,2.032,76.2,487.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,15,21,22,19,24,17,18,,14,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,21000,22913,22562,21828,11475,16000,,,,
Egypt,EGY,,,,,,,,,,,,,,,,,,,,,,,1488.44,1312.672,1219.2,959.104,913.384,744.728,471.424,,,,,,,,,,,57.912,14.224,104.648,65.024,59.944,67.056,333.248,138.176,70.104,137.16,107.696,101.6,71.12,50.8,71.12,50.8,30.48,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,14.224,32.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,200,230,300,400,500,200,200,100,500,500,500,500,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,317,217,288,175,200,,196,100,100,,,,,
UnionofSouthAfrica,ZAF,,,,,,,,,,,,,,,,,,,,,,,208.28,148.336,254,321.056,,,,,44.704,46.736,,,,,,,,,,,,,,184.912,240.792,254,258.064,286.512,274.32,336.296,359.664,390.144,375.92,304.8,13.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,44.704,398.272,492.76,533.4,537.464,493.776,537.464,502.92,498.856,527.304,458.216,567.944,842.264,1137.92,1309.624,1715.008,1916.176,2357.12,3287.776,4138.168,1155.192,,,,,,,,,,,,36775,36455,36789,36500,34000,37300,37021,36750,34787,32324,38207,40260,37603,39257,33200,32064,33524,35221,42145,44685,39292,32246,31036,29157,25956,40800,51300,59100,65100,63900,68100,72600,71300,74000,71900,73800,73400,73900,67300,65000,65400,68600,64600,66000,50000,50000,48000,49300,49000,45300,,,,
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.256,4678.68,17867.376,16585.184,3176.016,,,,,11646.408,16560.8,17980.152,18796,19812,25400,17944.592,17983.2,114401.6,14803.12,118201.44,118262.4,22413.976,27432,26416,30842.712,33700.72,35197.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetherlandsEastIndies,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,363.728,871.728,830.072,2326.64,1253.744,1615.44,1782.064,652.272,,,,,,,,,,98.552,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,406.4,457.2,1999.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261,3723,5350,5800,6300,5700,6400,5810,4377,5510,6550,7557,4746,5214,6323,7993,11403,10038,11070,9233,10812,10332,10311,8862,7200,4382,3872,3252,1967,730,4300,3000,3500,3700,4000,3400,3000,3600,6200,1600,12100,18244,19073,18560,19700,9383,20654,34641,43572,38530,,,,
