Country/Territory,ISO3,1493-1600,1601-1700,1701-1800,1801-1900
africa,ZAF,231145.5463,182291.4328,154947.7235,732430.5721
africa,SSD,231145.5463,182291.4328,154947.7235,732430.5721
africa,SDN,231145.5463,182291.4328,154947.7235,732430.5721
africa,TZA,231145.5463,182291.4328,154947.7235,732430.5721
africa,TGO,231145.5463,182291.4328,154947.7235,732430.5721
africa,TUN,231145.5463,182291.4328,154947.7235,732430.5721
africa,UGA,231145.5463,182291.4328,154947.7235,732430.5721
africa,ESH,231145.5463,182291.4328,154947.7235,732430.5721
africa,ZMB,231145.5463,182291.4328,154947.7235,732430.5721
africa,ZWE,231145.5463,182291.4328,154947.7235,732430.5721
asia,AFG,0,0,2421.018314,0
asia,ARM,0,0,2421.018314,0
asia,AZE,0,0,2421.018314,0
asia,BHR,0,0,2421.018314,0
asia,BGD,0,0,2421.018314,0
asia,BTN,0,0,2421.018314,0
asia,BRN,0,0,2421.018314,0
asia,KHM,0,0,2421.018314,0
asia,CHN,0,0,2421.018314,0
asia,CYP,0,0,2421.018314,0
asia,GEO,0,0,2421.018314,0
asia,IND,0,0,2421.018314,0
asia,IDN,0,0,2421.018314,0
asia,IRN,0,0,2421.018314,0
asia,IRQ,0,0,2421.018314,0
asia,ISR,0,0,2421.018314,0
asia,JPN,0,0,2421.018314,0
asia,JOR,0,0,2421.018314,0
asia,KAZ,0,0,2421.018314,0
asia,KWT,0,0,2421.018314,0
asia,KGZ,0,0,2421.018314,0
asia,LAO,0,0,2421.018314,0
asia,LBN,0,0,2421.018314,0
asia,MYS,0,0,2421.018314,0
asia,MDV,0,0,2421.018314,0
asia,MNG,0,0,2421.018314,0
asia,MMR,0,0,2421.018314,0
asia,NPL,0,0,2421.018314,0
asia,PRK,0,0,2421.018314,0
asia,OMN,0,0,2421.018314,0
asia,PAK,0,0,2421.018314,0
asia,PSE,0,0,2421.018314,0
asia,PHL,0,0,2421.018314,0
asia,QAT,0,0,2421.018314,0
asia,SAU,0,0,2421.018314,0
asia,SGP,0,0,2421.018314,0
asia,KOR,0,0,2421.018314,0
asia,LKA,0,0,2421.018314,0
asia,SYR,0,0,2421.018314,0
asia,TJK,0,0,2421.018314,0
asia,THA,0,0,2421.018314,0
asia,TLS,0,0,2421.018314,0
asia,TUR,0,0,2421.018314,0
asia,TKM,0,0,2421.018314,0
asia,ARE,0,0,2421.018314,0
asia,UZB,0,0,2421.018314,0
asia,VNM,0,0,2421.018314,0
asia,YEM,0,0,2421.018314,0
