Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
fiji,FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,349556,564777,489476,,,,,
france,FRA,309207.3842,0,56506.6047,106170.1127,120882.5167,0,163401.161,186641.2727,0,0,901650.8984,335488.5335,406421.0161,510601.7028,539522.55,597811.3064,666349.9752,608446.3018,347948.3546,401441.355,477790.4002,539134.4189,512851.2375,648493.9125,688170.665,683821.971,708511.986,489021.8169,587422.1952,639562.833,916353.1419,665631.6279,308128.3391,449121.5334,680124.5651,803537.0462,765853.7838,804000.365,1123141.67,1119013.459,1156122.653,1274837.935,1492780.66,1466363.36,1683594.85,1829525.031,1757037.992,2067310.197,2224910.728,2194343.88,2004666.65,2432736.643,2661811.212,2810560.932,2812596.08,2712853.5,2772800.45,3051009.165,3184009.094,3281010.371,2970008.643,2904009.083,0,0,0,0,0,1925006.298,1865005.497,1687004.714,1661005.01,1590004.452,1529604.344,1379004.397,1388203.714,977703.257,550428.8307,489805,183000,104000,151000,128000,131000,165000,164000,80000,70000,185000,174000,170000,168000,168000,175000,160000,160000,160000,160000,93100,80800,90000,100000,71000,,,,,
frenchindo-china,VNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4815,7112.35,162.568,2329.80265,119.8939,10160.5,12802.23,0,355.6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchindo-china,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4815,7112.35,162.568,2329.80265,119.8939,10160.5,12802.23,0,355.6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchindo-china,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4815,7112.35,162.568,2329.80265,119.8939,10160.5,12802.23,0,355.6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchwestafrica,TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
germany,DEU,0,0,0,0,0,0,0,0,0,0,6662.23985,3083.71175,1766.91095,0,2399.9101,5080.25,7255.61305,1390.97245,0,1637.8726,5080.25,6559.6188,8547.0126,12425.27545,18288.9,19406.555,15748.775,10160.5,12903.835,16256.8,25401.25,25401.25,0,0,0,0,2438.52,4165.805,0,5944.90855,5245.86615,4165.805,3860.99,4877.04,4673.83,3759.385,4470.62,3812.2196,4231.84825,4656.55715,4331.42115,4155.6445,3893.5036,3666.92445,2284.0804,3251.36,3206.6538,3000.39565,3000.39565,1999.5864,1999.5864,999.7932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75561.6064,116921.9538,166140.4318,118151.3743,140084.8456,188378.7182,189391.72,198434.565,193760.735,203921.235,243343.975,314365.87,250354.72,309082.41,352366.14,350943.67,291606.35,245782.495,342001.414,323001.279,335000.8295,316000.6945,324001.0722,0,0,0,0,0,225100.7973,181300.9139,63500.07685,70400.0724,27452.65495,169500.5092,204000.4869,195000.316,287301.3462,347701.4545,382100,485100,338200,423700,426100,512900,473200,519200,442500,353100,503824,692620,683654,494716,498060,606700,841775,1033368,796000,440000,512208,400069,752771,826994,940389,,,,,
greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,2319.64215,4299.9236,299.73475,6280.20505,2280.0162,0,590.32505,0,0,9488.89095,129897.9283,109733.4,179886.5723,186953.2,50802.5,50802.5,50802.5,50802.5,10160.5,0,1314.7687,22420.1593,44237.80095,45532.24865,77448.41125,163657.2056,284913.6287,328242.0649,353520.3728,500171.9496,697983.6759,799631.35,856207.0461,918478.7185,883700.3431,1119687.1,1321276.5,1281070.386,1046531.5,1270498.385,1381063.93,1659209.65,1818729.5,1912206.1,2292006.606,2889009.137,2442007.084,2748007.814,2783008.704,0,0,0,0,0,3258865.561,3248832.068,2887864.048,2456187.077,2449771.738,2341076.741,2314969.336,2455995.044,2533107.143,2576007.822,2511036,2164773,2084611,2205498,2194100,2200215,2451734,1876983,1714023,1882505,1818525,1903280,2492000,2418000,2444000,2441443,2162900,2125900,2174000,1935000,1902000,2324000,1816000,1844000,1876000,,,,,
guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330216.25,300974.331,1377816.635,1766682.339,1442791,1498673.75,1678514.6,1869532,1608407.15,1665305.95,2117448.2,2540125,2600007.939,2010005.993,2049006.056,3700011.102,6100018.743,0,0,0,0,0,13911042.32,12822038.91,11827035.37,12986039.54,14738044.02,11750035.04,12439037.85,13500040.95,15619046.75,16523049.81,16150000,17065000,15997000,17040000,14400,17733452,18492600,16510000,17300000,17320000,17991900,17191700,17480000,17044000,18795000,19237300,18783928,18519010,17682330,14774240,16427300,17593100,17326140,18330620,18742730,,,,,
guyana,GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517393.929,2918693.037,3357741.451,3381414.4,3721791.15,4306019.9,3211009.606,2332007.479,3727011.615,3622010.976,3048008.769,0,0,0,0,0,3052008.958,2395906.863,1783105.771,1087303.554,2484707.601,2153192.839,2073924.682,2351503.446,2154853.065,0,1423978,2145907,2373759,2083200,2093000,2028080,2475459,2470895,2267368,2359272,2689451,2011301,1639266,1715705,1503416,1694126,1478670,2242928,2092237,1484935,1082512,1818399,2213972,1713242,1563563,,,,,
haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284494,259092.75,272301.4,267221.15,375938.5,332248.35,437161.6088,382589.5633,361427.2739,359681.7,446045.95,776262.2,646001.5419,752001.9742,770002.316,790002.2442,793002.6398,0,0,0,0,0,293801.018,409700.8255,377001.2883,0,0,2814799.893,3022305.752,3101008.985,2593007.354,2644007.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
