Country,ISO ,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.0745,802.6795,915.46105,1043.48335,1088.18955,1542.3639,"1,500","1,500","1,500","1,600","1,600",1500,1500,1500,1400,1300,,,,,,,,,,,1743,1331,1360,1258,1141,1854,2300,2500,2700,2600,2900,3417,3384,3465,3580,4798,5602,4549,3175,3500,3706,3853,3792,3319,3210,,,,,
federal republic of germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,300,150,150,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679.53065,2019.9074,2040.2284,0,0,0,0,0,0,0,0,0,0,1928.4629,1938.6234,0,0,0,0,0,0,0,0,0,0,1008,925,803,1010,812,1170,1207,1227,1236,1070,1906,1937,2181,1453,1450,,,,,,273,234,216,167,200,,,,,,,,,,,100,100,120,100,27,140,480,1381,2061,2104,,,,,
france,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.4298,559.84355,919.52525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1033,815,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
india,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235.31,2235.31,2032.1,2540.125,2336.915,2844.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,814,800,650,650,650,650,650,650,650,650,650,650,650,650,650,1600,3200,3600,4700,329,,,,,
italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2867,2421,1942,1371,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.27285,0,0,0,0,0,0,0,0,0,0,0,0,35.56175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524.075,1524.075,3251.36,8899.58195,8738.03,11074.945,13716.675,13560.2033,6604.325,1300.544,53.85065,4320.2446,4859.76715,1959.96045,4795.756,7396.844,5336.2946,4979.66105,8479.9533,14479.72855,20099.5011,12040.1925,14763.2065,15118.824,12842.872,9083.487,924.6055,1207.0674,1271.07855,1290.3835,1435.67865,1370.65145,1569.79725,1670.3862,1816.6974,1752.68625,1517.9787,1410.2774,604,978,"1,602","1,378","1,644",1960,911,990,"1,133","1,000",,,,,,,,,,,103,295,425,397,440,548,540,780,287,881,1001,1337,1335,1391,1 600,1600,1100,1573,1791,1457,1582,1518,1314,1353,1391,,,,,
New Caledonia,CAN,0,446.04595,140.2149,307.86315,95.5087,47.75435,0,0,0,0,1279.20695,0,0,0,1571.82935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0544,182.889,0,0,0,0,0,0,0,0,0,0,,,,1700,1900,3420,4145,4080,4170,4200,,,,,,,,,,,2551,2990,3015,3018,1000,2601,2356,2964,3036,2383,2620,3540,2780,2602,2721,1769,1629,1620,869,719,1735,2404,2631,3080,3000,,,,,
Northern rhodesia,ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367.3965,11612.43545,8334.65815,9223.7019,17688.41445,29223.6301,31637.7649,15701.02065,15141.1771,18112.1073,19516.2884,19194.20055,13549.02675,9498.0354,7749.41335,7883.53195,10401.30385,13388.49085,14209.45925,10059.91105,17098.0894,21766.83915,13449.45385,20587.2051,27575.597,1670.3862,2059.53335,1891.8851,1748.62205,859.5783,979.4722,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
