,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
brazil,BRA,,,,,,,,,,,344,,,,,,,,,30000,30000,30000,,,182708,966872,734000,584207,814652,693082,779703,550000,639943,573316,601351,1546844,1857829,1956000,,3112325,3560351,3022243,3328511,4021305,4898090,5102820,8766864,9197524,10059063,10607504,11041748,,,,,,,36381,37486,46471,55019,75190,89000,92611,80936,372,91700,114732491,97860171,93159018,88715604,110200000,128174116,129376538,134493672,146001854,153742600,152303718,151764214,146447408,159400000,165651000,184540460,174190720,185000000,197500000,194000000,210000000,201400000,214560000,234478000,262029000,281462088,317800229,354674378,351200000,327000000,372300000,460400000,400600000,316800000,345800000,430838137,424200000,453703525,450393000,396841000
bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,2333,6159,11732,16506,20000,30000,,,,,,,,,,,,101000,113000,116000,111000,232000,267000,288000,367000,405000,411000,625000,645000,,,,,,,2409,3001,3207,2773,2684,2337,2316,270,2453,2103,1886000,1754000,1552000,1803000,2063000,1985000,2179000,1850000,1826000,1613400,1079293,594000,393000,440000,,824000,1000000,858000,895000,699000,588800,324800,373000,466100,83000,,,,,,,,,,,,,,,
burma,MMR,,,,,,,,,,,,,,,,,,,,,,,23085,26316,25426,18050,26259,22693,,,,,,,,,,,,,,,,,,4363,3692,15670,,9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,274673,218620,355457,245693,192234,188936,176045,114130,,,512,,,,,,,,,,,,,,,,110355,370181,460747,486880,572584,493975,1013789,1383503,1713720,1104682,,,,4707008,5812337,6572855,14538551,19953820,19988387,14041360,21864576,19241812,18177681,24428282,27352320,,,,,,,47458,42957,38735,47498,46785,44893,55416,53621,42931,60185,49068000,49551000,33197561,32958678,41065321,39501601,36166884,36980000,40353000,40509000,34855000,36383000,32697000,30505000,36606000,37288000,35689000,37277000,37808000,34487000,36740000,29152000,28704000,33013000,28630000,28343000,34094000,33158000,32102000,31699000,37001000,33573000,39427100,42769700,44196000,46673000,48999000,51836000,52358000,59013000
chile,CHL,13873,62485,144736,55263,4920,2699,,,,,662528,1032987,,1374352,1484465,,,,,168420,556246,957800,835987,1332325,1505542,1581670,1599948,1720804,1669830,402768,294781,663876,272531,1158462,1710111,2668125,2699593,2906591,3024204,2325363,2857579,2243988,1743610,2954784,2165000,3699450,4575623,5945899,6879064,7964499,8372649,,,,,,,11265,11225,8640,9401,10271,11007,10055,7891,9666,11068,8834577,8514176,6469670,5973672,7115792,6509986,7008975,6690168,7865712,8760684,8247908,8414443,7224030,7379016,8643865,8431647,9081661,8738191,9112055,8534886,8728927,8834152,7268803,8011023,8003491,7862000,8629000,8817700,9315580,8242300,9129500,12624600,17330000,17108000,18865800,15448000,14620000,15426000,14013000,13137000
china,CHN,269646,294694,304081,278549,304349,372673,630304,672150,,,819685,840112,809438,,,,,,,1232816,1260000,,,,,,,,,,,,31000,,,,,,,6000000,8000000,10000000,12000000,14000000,16000000,28000000,45000000,55000000,45000000,35000000,50000000,,,,,,,44000,55000,60000,66000,70000,000,65000,000,70000,75000,75000000,70000000,71000000,72000000,77000000,137830000,149450000,161420000,164000000,165000000,179344000,190558000,210220000,225990700,234000000,262099600,252282700,268612000,246891000,237230100,223947600,217014700,232619000,262719000,310105000,420492700,588171400,707073000,824011100,880171400,1077705100,1326942000,1309637000,1451011000,1514240000,1381288000,1280893000,1229373000,763374000,844356000
colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81899,343461,387990,583763,552993,107926,645000,665716,670000,684000,,,,,,,453,442,416,439,444,537,498,460,454,350,506269,433411,469850,456000,460000,455142,523082,610521,614727,529600,628257,607329,674219,544775,552121,734000,605716,754772,525825,587867,660109,636837,688650,625002,642546,607559,644015,623930,473273,280773,77048,174459,391503,710047,676180,902322,715786,712868,575542,666561
congo republic,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,70000,,,,,,,,,,,,,,,,,,,,,,,,,,
cuba,CUB,1582431,821110,827448,712716,553485,643532,200000,300000,,,367868,470000,900000,578092,414847,,,,,185248,275197,,224801,449612,488420,152099,164106,157807,189805,130749,46369,27922,,,36755,22588,11265,1279,,87536,196676,205000,246000,,,14699,,15000,,,,,,,,,,,,,,,,,,,,,,,,,202400,20000,168500,144400,,,,,,,,,,,,101500,,,,,18900,7800,3300,,,,,,,,,,,,
czech republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000,40000,,,,,,,,,,,,,,,,,,,,,,,,,
czechoslovakia,"CZE,SVK",,,,,,,,,,,664334,1155068,1100000,1398728,1565407,1751076,,,,592704,422000,543819,719512,1072414,1787999,1400000,,,,,,,272000,1098000,1346000,1404500,1450000,1550000,1730000,1555000,1700000,1651000,1955000,2101000,2751000,2755000,2921000,3071000,3242000,3422000,3354000,,,,,,,1606,1609,1581,1672,1688,1773,1904,1994,2023,2012,1927000,1935000,1861000,1903000,1869000,1859000,1784000,1798000,1773000,1780000,1831000,1738000,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
