ISO3,Country/Territory,1493-1600,1601-1700,1701-1800,1801-1900
PLW,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
PNG,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
PRK,asia,0.0,0.0,2421.018314,0.0
PRT,portugal,0.0,0.0,0.0,49.92345637
PSE,asia,0.0,0.0,2421.018314,0.0
QAT,asia,0.0,0.0,2421.018314,0.0
ROU,romania,0.0,0.0,0.0,0.0
RUS,russiaasiaticrussia,0.0,0.0,4830.725179999999,1770380.5641
RWA,africa,231145.5463,182291.4328,154947.7235,732430.5721
SAU,asia,0.0,0.0,2421.018314,0.0
SDN,africa,231145.5463,182291.4328,154947.7235,732430.5721
SEN,africa,231145.5463,182291.4328,154947.7235,732430.5721
SGP,asia,0.0,0.0,2421.018314,0.0
SLB,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
SLE,africa,231145.5463,182291.4328,154947.7235,732430.5721
SLV,centralamerica,0.0,0.0,0.0,6.224553445
SOM,africa,231145.5463,182291.4328,154947.7235,732430.5721
SRB,serbiayugoslavia,0.0,0.0,0.0,36.45744741
SSD,africa,231145.5463,182291.4328,154947.7235,732430.5721
STP,africa,231145.5463,182291.4328,154947.7235,732430.5721
SUR,dutchguiana,0.0,0.0,0.0,15160.91172
SVK,czechoslovakia,0.0,0.0,0.0,0.0
SVN,yugoslavia,0.0,0.0,0.0,0.0
SWE,sweden,0.0,0.0,0.0,1449.906447
SWZ,africa,231145.5463,182291.4328,154947.7235,732430.5721
SYC,africa,231145.5463,182291.4328,154947.7235,732430.5721
SYR,asia,0.0,0.0,2421.018314,0.0
TCD,africa,231145.5463,182291.4328,154947.7235,732430.5721
TGO,africa,231145.5463,182291.4328,154947.7235,732430.5721
THA,siamasia,0.0,0.0,2421.018314,136.701253
TJK,asia,0.0,0.0,2421.018314,0.0
TKM,asia,0.0,0.0,2421.018314,0.0
TLS,asia,0.0,0.0,2421.018314,0.0
TON,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
TUN,africa,231145.5463,182291.4328,154947.7235,732430.5721
TUR,turkeyasia,0.0,0.0,2421.018314,253.8980552
TUV,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
TZA,africa,231145.5463,182291.4328,154947.7235,732430.5721
UGA,africa,231145.5463,182291.4328,154947.7235,732430.5721
URY,uruguay,0.0,0.0,0.0,1309.888303
USA,unitedstates,0.0,0.0,3295.628508,3268007.796
UZB,asia,0.0,0.0,2421.018314,0.0
VEN,venezuela,0.0,0.0,0.0,73592.70284
VNM,indochinaasia,0.0,0.0,2421.018314,0.0
VUT,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
WSM,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
YEM,asia,0.0,0.0,2421.018314,0.0
ZAF,africa,231145.5463,182291.4328,154947.7235,732430.5721
ZMB,africa,231145.5463,182291.4328,154947.7235,732430.5721
ZWE,africa,231145.5463,182291.4328,154947.7235,732430.5721
