ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BLR,U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d),,,,,,,,,,,,,,,,,,,,101600.0,203200.0,382016.0,1828800.0,2213762.4,,2346960.0,2137664.0,2014728.0,1351280.0,1016000.0,1016000.0,1016000.0,1625600.0,1625600.0,2032000.0,2336800.0,2540000.0,2540000.0,2794000.0,3647440.0,4028440.0,4500880.0,4947920.0,5349240.0,5750560.0,6004560.0,6106160.0,7091680.0,8798560.0,10007600.0,11094720.0,10733024.0,13599160.0,14747240.0,16301720.0,17699736.0,19249136.0,20800000.0,21650000.0,22500000.0,23750000.0,26300000.0,24150000.0,24200000.0,24250000.0,24800000.0,25000000.0,30300000.0,30700000.0,31300000.0,31600000.0,31900000.0,33755000.0,33900000.0,34100000.0,34400000.0,34400000.0,35082000.0,29994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,BrazilBrazil(d)Brazil-ApatiteBrazil-PhosphaterockBrazil-Apatite(c)Brazil-Phosphaterock(c)BrazilApatite(d)BrazilApatiteBrazilBrazil(d)'Brazil(d)'Brazil(d)'Brazil'Brazil(a)'Brazil(b)'Brazil(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4064.0,4064.0,37051.488,34326.576,12336.272,12192.0,12700.0,12700.0,12700.0,15240.0,124968.0,124968.0,124968.0,222662.49599999998,1006331.744,879589.808,659391.112,565531.0,278781.256,147929.6,185318.4,214985.6,275336.0,310896.0,,100500.0,123800.0,173200.0,257042.0,221000.0,406030.0,489617.0,650486.0,1023000.0,1500000.0,2611641.0,2710604.0,2800000.0,3240603.0,3900000.0,4170680.0,4542317.0,5433175.0,5000000.0,4000000.0,3148372.0,3300000.0,2900000.0,3400000.0,3500000.0,3896012.0,3830301.0,4275609.0,4421403.0,4300627.0,4725106.0,4684546.0,5083703.0,5583778.0,6073902.0,5631000.0,5932000.0,6185000.0,6730000.0,5600000.0,6192000.0,6738000.0,6740000.0,6715000.0,5997600.0,5600000.0,5850000.0,6033000.0,5740000.0,5300000.0
CAN,Canada...Canada(c):.:.:.Canada(sales):...CanadaCanadaCanadaEireCanadaCanada'Canada'Canada'Canada,349.504,865.632,197.104,183.896,135.128,127.0,21.336,,,,27.432,,37.592,36.576,137.16,395.224,1074.928,36.576,,1193.8,2008.632,73.152,168.656,476.504,90.424,188.976,142.24,3153.6639999999998,9824.720000000001,17590.007999999998,18567.4,20413.472,271.272,51.816,,,18.288,116.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486000.0,780000.0,1003000.0,980500.0,1064000.0,888000.0,530000.0,682000.0,983000.0,901388.0,826858.0,851308.0,516000.0,316000.0,,,,,,
CHL,ChileChileChile(apatite)Chile-ApatiteChile-GuanoChile-ApatiteChile-GuanochileGuanoChileGuanoChilePhosphaterockChileGuanoChile'PhosphaterockChile'Guano'Chile'Chile'ChileChile'PhosphaterockChile'GuanoChile'PhosphaterockChile'Guano,,,,,,,,,,,,,,,,,,,,,,,,,,23368.0,9013.952,31998.92,29126.688,24908.256,37922.2,14375.384,13201.904,,49235.36,59524.392,49307.496,46461.68,37180.52,45764.704,59172.856,41835.832,52328.064,59055.0,54864.0,72136.0,40742.616,35824.16,33257.744,28747.72,36260.024,28377.896,31608.775999999998,15240.0,16256.0,22352.0,31496.0,14900.0,13075.0,15272.0,12976.0,13000.0,13518.0,16107.0,7017.0,240.0,,,,,,,10260.0,14230.0,6074.0,13213.0,17481.0,15438.0,14646.0,17685.0,14560.0,9645.0,12164.0,17356.0,12605.0,31405.0,,18524.0,18977.0,19541.0,300.0,21465.0,20363.0,13836.0,25073.0,41186.0,13292.0,51373.0,17554.0,16867.0,17871.0,34274.0,19549.0,6205.0,4238.0,4154.0,3405.0
CHN,ChinaChinaChina(estimated)China(estimated)China(d)China(d)China(a)(d)China(a)(d)ChinaApatiteChinaChinaChina'China'China'China'China'China'China,,,,,,,,,,,,,,,,,8128.0,8128.0,8128.0,8128.0,,,8128.0,8128.0,8128.0,8128.0,8128.0,20320.0,71120.0,81280.0,71120.0,76200.0,,,,20320.0,20320.0,20320.0,20320.0,20320.0,26416.0,37571.68,40640.0,24688.8,,304800.0,508000.0,609600.0,508000.0,609600.0,711200.0,812800.0,914400.0,1016000.0,1016000.0,1016000.0,1117600.0,1700000.0,2200000.0,2600000.0,3000000.0,3000000.0,3400000.0,3750000.0,4100000.0,4400000.0,5000000.0,10726000.0,10862000.0,11728000.0,11630000.0,11800000.0,6974000.0,9790000.0,14866000.0,16600000.0,17000000.0,21550000.0,23660000.0,25870000.0,21158700.0,6000000.0,31200800.0,31040200.0,25093700.0,27091000.0,29117700.0,22475800.0,24371100.0,26000000.0,27500000.0,29000000.0,30444900.0,38959500.0,45417000.0,50740600.0,60208900.0,68070000.0,81223000.0,95296000.0,108510000.0,120438000.0,142039000.0,144398000.0,123132000.0,96326000.0,93324000.0
CIV,FrenchWestAfricaFrenchWestAfricaFrenchWestAfrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.504,,,203.2,,,,809.752,21396.96,45817.536,5486.4,5486.4,5283.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,ColombiaColombiaColombiaColombia'Colombia'Colombia'Colombia'Colombia'Colombia'Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,10000.0,6821.0,10421.0,10000.0,13000.0,9300.0,5800.0,1360.0,2000.0,6370.0,17329.0,20393.0,16944.0,28000.0,24249.0,28624.0,29800.0,30000.0,30000.0,31000.0,31516.0,32041.0,44960.0,48100.0,50000.0,40484.0,44517.0,50000.0,50000.0,42615.0,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,24000.0,48000.0,48000.0,50000.0,50000.0,54000.0,49400.0,30396.0,95483.0,84125.0,63483.0,52945.0,77907.0
CUB,'Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.0,6000.0,1700.0,3000.0,1300.0,,,,,
CUW,DutchWestDutchWestIndies(b)DutchWestIndies(exports)NetherlandsWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports),39624.0,97536.0,31297.88,14462.76,3580.384,,19045.936,64937.64,,,85826.6,100437.696,81835.752,106771.44,108875.576,104188.768,103284.528,87492.84,,64404.24,85546.184,100622.608,90704.416,78127.352,101832.664,99278.44,65077.848,5892.8,113671.096,21425.408,7907.528,7938.008,10420.096,78670.912,79225.648,58826.4,113009.68,91948.0,108606.336,101139.752,90062.304,6221942.344,94208.6,6198825.296,702399.408,86633.304,98156.776,114906.552,151989.536,131545.584,128274.064,119548.656,114884.2,147462.24,101242.368,93133.672,,143000.0,156000.0,111584.0,92533.0,107048.0,82000.0,54000.0,79000.0,81000.0,90000.0,14634.0,,,3525.0,,27992.0,22702.0,22291.0,21931.0,15738.0,4180.0,9522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXR,ChristmasChristmasIsland(e)ChristmasIsland:.ChristmasIslandChristmasIslandChristmasIslandChristmasIslandChristmasIsland(c)ChristmasIsland(c)ChristmasIsland(b)(g)ChristmasIsland(b)(g)ChristmasIsland(b)(e)ChristmasIsland(b)(e)ChristmasIsland(b)(c)ChristmasIsland(b)(c)'ChristmasIsland(b)(c)(e)'ChristmasIsland(b)(c)(e)'ChristmasIsland(b)(c)(e)'ChristmasIsland(b)(c)(d)'ChristmasIsland(a)(c)(d)'ChristmasIsland(a)(d)(e),152355.296,95202.248,24110.696,44916.344,91327.224,54223.92,,,,,71559.928,127160.528,111797.592,131050.792,118546.88,113681.256,119749.824,121851.928,66902.584,85544.152,92740.48,130058.16,150295.864,164023.04,165169.088,162416.744,173899.576,241814.096,155143.2,25400.0,10160.0,,6096.0,33274.0,106122.216,177561.24,247370.6,320406.776,338676.488,354744.528,284675.072,356575.36,396469.616,346060.776,340938.104,379730.0,502256.552,511495.04,705317.36,529082.0,661884.376,787197.816,751401.088,965725.272,999871.0,1141241.304,1060450.0,1063564.0,990721.0,1074476.0,1493408.0,1808844.0,1342450.0,1036950.0,1262608.0,1378046.0,1360852.0,1638315.0,1357838.0,1345462.0,1036081.0,1257576.0,1187225.0,880115.0,836000.0,,,,63609.0,196803.0,263946.0,296709.0,421590.0,542800.0,567860.0,587660.0,699828.0,612000.0,568000.0,517000.0,585737.0,655474.0,757013.0,724278.0,703719.0,700000.0,485000.0,566645.0,616000.0,653000.0,672000.0,575000.0,671000.0,770000.0,644000.0,643000.0,486000.0
