ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BOL,BoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBoliviaBolivia,93.0634817,71.53743274,77.00799353,77.61189388,75.74258966,0.0,0.0,0.0,0.0,0,162.156293736,141.05750985999998,145.3454014,181.4663619,168.045784,175.3835339,193.2919971,220.5530155,179.5374016,127.9970141,170.1057199,162.2399614,247.3123075,333.5199527,293.9877453,198.0031725,225.2185002,174.9867811,228.5776492,252.589344,227.0535909,211.4397686,207.8803459,189.9214643,194.8774533,235.209107,206.4413549,204.2523716,223.0792199,219.7632422,211.1113185,156.8747473,181.9925352,234.6211315,167.181674,0,0,0,0,0,0,149.6368076,127.971976,143.4768436,132.1779416,148.3624149,188.9832354,180.0,172.0,157.0,164.277,192.8,155.702,176.914,183.098,200.284,178.592,189.715,205.332,186.738,187.403,141.8,111.352,95.107,141.772,231.766,267.305,310.543,337.01,282.35,332.768,352.083,425.053,384.384,387.2,403.961,422.5,433.59,409.72,460.9,466.3,413.98,420.3,472.21,525.0,1114.0,1325.73,1259.0,1215.586,1206.0,1287.2,1345.022,1306.977,1356.62,1222.371,1191.024,1153.11
BRA,BrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazilBrazil,0.882212062,2.385151317,0.669434854,0.684271096,0.777580791,0.777580791,0.0,0.0,0.0,0,1.085347268,8.192746726,0.163820721,0.642966004,0.622064633,0.0,0.653976548,0.622064633,0.0,0.673011726,0.727597897,0.692824484,0.647973624,0.742962894,0.0,0.795962801,0.858262573,0.768063202,0.658455414,0.800379459,0.934589904,0.893347019,0.882803023,0.683182483,0.631115673,0.717986999,0.654443097,0.657988865,0.631986563,5.978943112,6.591956704,3.932972536,4.357967093,3.856956238,6.220646325,0,0,0,0,0,0,9.498926939,7.085316164,6.917358714,14.88911698,14.43189947,0.0,11.108,19.408,9.942,10.2,6.69,7.323,0.626,11.583,15.723,9.95,24.394,19.3,23.625,15.112,25.108,55.263,59.514,61.095,89.742,64.0,60.0,50.0,50.0,52.5,52.5,13.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,6.496,6.192,6.672,10.0,18.62,19.0,19.0,14.63,15.238,20.145,22.427,22.0,44.142,48.793,41.9,49.6,50.0
BWA,BechuanalandBechuanalandBechuanalandBechuanalandBechuanalandBechuanalandBechuanalandBechuanalandBechuanalandBotswanaBotswanaBotswana,0.0,0.0,0.0,0.0,0.017386706,0.003483562,0.0,0.0,0.0,0,29.43908432,22.7844235,21.98998476,0.014214177,0.004883207,0.004385556,0.004603278,0.013498803,0.042362601,0.052129016,0.01934621,0.029765793,0.054710584,0.042860253,0.046623744,0.035053342,0.025286927,0.037541601,0.02954807,0.039407794,0.037945943,0.041025163,0.038474698,0.052999907,0.033622593,0.007247053,0.000839787,0.001213026,0.002177226,0.008771111,0.014431899,0.009082144,0.005878511,0.006687195,0.001088613,0,0,0,0,0,0,3.11032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,22.597,22.288,2.801,0.0,0.0,0.0,0.0
CAN,AlbertaandNewBrunswickBritishColombiaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCanadaCapeProvinceManitobaNewfoundlandNewfoundlandNewfoundlandNewfoundlandNewfoundlandOntarioQuebecYukon,990.507387101,884.881372238,828.153649975,791.8802214809999,691.1534322360001,665.1108519449999,498.29420546,397.920469059,0.0,0,14.178097101,23.48595689,28.54072968,695.8391341,707.1847843,682.293148,719.8302075,822.4883518,639.4269541,612.17085008,509.97573951,544.8780130800001,551.85079784,609.1244129300001,759.70850052,742.27193553,764.6661068300001,787.80174803,728.1743958100001,678.08827095,578.62203357,460.02659325,436.03729275,424.61904758,418.65167490000005,528.51373204,548.707443,722.2615471,754.0962645,784.4927685,880.2007714,967.8687755,870.3991789,884.3223228,937.4030979,0,0,0,0,0,0,930.0678361,1003.777923,1037.672483,1129.519735,1400.043451,1340.330814,1376.386,1431.526,1393.226,1477.063,1331.562,1234.642,1281.437,1313.685,1266.927,1184.0,1069.635,1129.394,1313.63,1197.031,1306.373,1197.072,1087.989,1452.0,1484.0,1371.0,1501.451,1338.799,1215.388,895.837,774.506,1284.757,1308.758,1223.953,1195.943,1231.302,1212.386,1320.03,1407.558,1310.153,1335.827,1123.837,995.024,860.449,755.103,630.897,591.482,661.089,685.255,640.362,493.087,383.807,385.134,389.568,404.0,410.0
CHL,ChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChileChile,29.25290038,27.44586483,25.23877951,47.44147927,53.38558676,134.8325091,0.0,0.0,0.0,0,104.055052753,94.34309975,0.0,101.1315667,46.7940655,0.0,48.8411869,23.65291904,11.58163043,2.283661472,7.933750117,32.75397344,40.39454449,46.59665329,55.5572766,42.7834282,36.76504619,46.85232186,38.83935181,28.19137818,31.3109079,30.99586327,25.67378931,17.33485739,23.73580915,26.80980374,24.87244565,23.09380735,30.58974837,44.02771298,46.58763336,51.163603,55.13057137,59.76451743,48.3946067,0,0,0,0,0,0,87.11393114,92.44701564,112.2814842,95.34708096,116.3050605,97.43920873,74.42,84.897,145.849,156.608,172.53,193.96,228.35,263.179,255.374,271.836,298.545,361.107,382.188,468.276,490.365,517.333,500.077,499.761,506.501,545.412,654.603,676.339,1024.823,970.068,959.21,1041.098,1147.002,1091.311,1340.199,1379.853,1242.194,1348.667,1210.473,1312.789,1360.14,1399.539,1607.164,1936.465,1405.02,1301.018,1286.688,1291.272,1194.521,1173.845,1571.788,1504.271,1501.436,1318.582,1370.237,1309.321
CHN,ChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaManchoukuoManchuriac,0.0,3.332866785,0.567011913,0.933096949,1.987496501,2.177226214,0.0,1.244129265,0.0,0,7.5257379239999995,0.0,0.0,4.043420111,3.110323163,0.0,3.607974869,4.509968586,5.785201082,4.167833038,3.794594258,0.0,4.774252744999999,4.665484744,0.0,4.758794439,4.665484744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24.8825853,24.8825853,24.8825853,24.8825853,24.8825853,24.8825853,25.0,30.0,30.0,40.0,40.0,30.0,30.0,31.0,46.6,62.2,60.0,65.0,70.0,80.0,90.0,100.0,105.0,125.0,145.0,165.0,150.0,180.0,200.0,220.0,225.0,910.0,1140.0,1300.0,1299.0,1378.714,1569.145,2013.25,2200.0,2400.0,2450.0,2500.0,2600.0,2700.0,2800.0,2900.0,3085.441,3231.626,3639.1,3670.21,3567.568,3421.355,3496.003,3601.8,3421.355,3443.128
CIV,IvoryCoastIvoryCoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.41,0.572,0.585,0.587,0.549,0.493,0.137,0.0
COD,"BelgianCongoBelgianCongoBelgianCongoBelgianCongoBelgianCongoBelgianCongoBelgianCongoCongo,DemocraticRepublicCongo,DemocraticRepublicCongo,DemocraticRepublicCongo,DemocraticRepublicZaireZaireZaireZaireZaire",0.0,0.045224099,0.148362415,0.148362415,0.342135548,0.320363286,0.326583932,0.0,0.0,0,0.271997761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.713166,82.31936798,105.7367111,118.0023327,86.51230133,92.12114709,97.10428914,64.35258623,110.0121303,107.9904202,121.9868744,97.01097944,85.00513203,128.9851016,157.0091132,125.9991913,118.3670492,141.4979316,138.6986408,118.0389412,147.0328139,153.9920998,140.990949,126.9944947,118.0056608,94.7093403,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.404,45.73,64.637,62.052,52.693,88.99,80.562,110.34,113.544,111.71,78.756,80.119,59.176,39.501,38.0,42.772,34.328,36.767,45.0,46.6,84.0,50.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.1,35.7,69.7,53.6,67.6,76.2,34.1,0.0,5.875,9.187,12.342,60.431,6.485,2.401,0.8,3.4,3.4,3.4
COG,CongoRepublic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,46.04211378,47.84921153,57.58452303,57.22372555,66.53292277,61.70150229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,ColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombiaColombia,18.27884047,10.92566328,10.88613107,9.623339865,10.10855028,10.10855028,0.0,0.0,0.0,0,4.827532581,8.711704146,4.749618985,0.087089049,0.0,0.0,1.625734814,0.0,0.0,2.612671457,3.359304532,0.0,4.135641193,4.712170695,5.224440919,5.999160213,7.547136948,8.096482225,8.432552642,7.660134988,6.53012348,6.137382974,5.247084072,4.747939411,3.447171161,3.381418929,3.31790613,3.611209605,4.044291002,3.830829523,3.650990638,3.500171068,3.484681658,3.444029735,3.312307549,0,0,0,0,0,0,4.054399552,3.528692731,3.320487699,3.423221673,3.084569687,2.366489378,2.351,2.074,2.167,2.357,2.3,2.727,3.288,2.833,2.388,3.0,4.714,4.44,4.232,4.118,4.773,4.768,5.822,5.198,0.562,6.847,6.631,8.037,8.292,7.328,5.817,5.915,6.407,3.515,5.218,7.593,7.97,7.242,6.986,9.511,8.539,7.142,8.399,9.766,9.162,10.827,15.3,24.045,19.368,13.968,11.498,11.602,11.866,12.076,16.684,12.706
