ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BGR,bulgaria,,,,,,,,,,,,,,,,,,,,,,,2333.0,6159.0,11732.0,16506.0,20000.0,30000.0,,,,,,,,,,,,101000.0,113000.0,116000.0,111000.0,232000.0,267000.0,288000.0,367000.0,405000.0,411000.0,625000.0,645000.0,,,,,,,2409.0,3001.0,3207.0,2773.0,2684.0,2337.0,2316.0,270.0,2453.0,2103.0,1886000.0,1754000.0,1552000.0,1803000.0,2063000.0,1985000.0,2179000.0,1850000.0,1826000.0,1613400.0,1079293.0,594000.0,393000.0,440000.0,,824000.0,1000000.0,858000.0,895000.0,699000.0,588800.0,324800.0,373000.0,466100.0,83000.0,,,,,,,,,,,,,,,
BIH,Bosniaandherzegovinayugoslavia,216593.0,175956.0,108636.0,154263.0,399905.0,,,,,,240688.0,324813.0,136901.0,360834.0,330791.0,432539.0,,,,26215.0,50925.0,176971.0,994197.0,1451848.0,2464641.0,597523.0,656285.0,586331.0,,,,,,393000.0,727000.0,865000.0,822000.0,812813.0,572170.0,665333.0,782362.0,1093200.0,1376214.0,1697724.0,1846485.0,1965000.0,2062000.0,2165000.0,2150000.0,2155000.0,2261000.0,,,,,,,3694.0,3728.0,3960.0,4670.0,5034.0,5239.0,260.0,4451.0,4564.0,617.0,4530000.0,4794000.0,5106000.0,5018000.0,5321000.0,5478154.0,6618122.0,5983000.0,5545155.0,5079691.0,4132173.0,2574000.0,900000.0,650000.0,400000.0,155520.0,155200.0,157230.0,155125.0,2088.0,363000.0,264000.0,212000.0,127000.0,130000.0,3045654.0,3439587.0,2943963.0,2667359.0,2727452.0,1401000.0,1891000.0,2075732.0,2121908.0,2127564.0,2122802.0,1751800.0,1621907.0,1380488.0,1450205.0
BLR,sovietunionussr,,,,,,,,,,,,,,,,,,,,,,,,,,27000000.0,,28000000.0,30000000.0,,,,20000000.0,22000000.0,26000000.0,31000000.0,35000000.0,44000000.0,50000000.0,51730000.0,58700000.0,63300000.0,70700000.0,76800000.0,82900000.0,87413000.0,92899000.0,104858000.0,115775000.0,126079000.0,135304000.0,,,,,,,195506.0,203004.0,208000.0,216000.0,225000.0,232803.0,239109.0,239716.0,244231.0,241597.0,244713000.0,242417000.0,244411000.0,245200000.0,247104000.0,248000000.0,250000000.0,251000000.0,250000000.0,241000000.0,236000000.0,199300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125264.0,101642.0,34956.0,32108.0,,,,,,,,,,,,,,,,,,,,,,24453.0,22.0,38330.0,71662.0,56500.0
BRA,brazil,,,,,,,,,,,344.0,,,,,,,,,30000.0,30000.0,30000.0,,,182708.0,966872.0,734000.0,584207.0,814652.0,693082.0,779703.0,550000.0,639943.0,573316.0,601351.0,1546844.0,1857829.0,1956000.0,,3112325.0,3560351.0,3022243.0,3328511.0,4021305.0,4898090.0,5102820.0,8766864.0,9197524.0,10059063.0,10607504.0,11041748.0,,,,,,,36381.0,37486.0,46471.0,55019.0,75190.0,89000.0,92611.0,80936.0,372.0,91700.0,114732491.0,97860171.0,93159018.0,88715604.0,110200000.0,128174116.0,129376538.0,134493672.0,146001854.0,153742600.0,152303718.0,151764214.0,146447408.0,159400000.0,165651000.0,184540460.0,174190720.0,185000000.0,197500000.0,194000000.0,210000000.0,201400000.0,214560000.0,234478000.0,262029000.0,281462088.0,317800229.0,354674378.0,351200000.0,327000000.0,372300000.0,460400000.0,400600000.0,316800000.0,345800000.0,430838137.0,424200000.0,453703525.0,450393000.0,396841000.0
BTN,bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5679.0,5300.0,,,,,,3742.0,20506.0,18997.0,43202.0,28065.0,32974.0,37843.0,36864.0
CAN,CanadaNewfoundland,1517873.0,1464417.0,867447.0,1080003.0,1094614.0,920016.0,885383.0,624730.0,,,27913.0,64.0,,865715.0,1335429.0,1547895.0,,,,317858.0,320891.0,506616.0,662441.0,727355.0,1609723.0,1680213.0,1763448.0,1878955.0,1428474.0,1679750.0,1115388.0,958346.0,1980851.0,2600615.0,3157130.0,2572738.0,3281336.0,3218983.0,4228741.0,4707008.0,5812337.0,6572855.0,14538551.0,19953820.0,19988387.0,14041360.0,21864576.0,19241812.0,18177681.0,24428282.0,27352320.0,,,,,,,47458.0,42957.0,38735.0,47498.0,46785.0,44893.0,55416.0,53621.0,42931.0,60185.0,49068000.0,49551000.0,33197561.0,32958678.0,41065321.0,39501601.0,36166884.0,36980000.0,40353000.0,40509000.0,34855000.0,36383000.0,32697000.0,30505000.0,36606000.0,37288000.0,35689000.0,37277000.0,37808000.0,34487000.0,36740000.0,29152000.0,28704000.0,33013000.0,28630000.0,28343000.0,34094000.0,33158000.0,32102000.0,31699000.0,37001000.0,33573000.0,39427100.0,42769700.0,44196000.0,46673000.0,48999000.0,51836000.0,52358000.0,59013000.0
CHE,switzerland,,,,,,,,,,,75000.0,80090.0,58573.0,49205.0,80371.0,64664.0,,,,11675.0,6977.0,18661.0,3813.0,10000.0,70000.0,,,,,,,,17161.0,52454.0,63734.0,85400.0,89000.0,54000.0,86400.0,104800.0,103600.0,100000.0,127000.0,129000.0,114000.0,77000.0,59000.0,123000.0,85000.0,103000.0,94000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,chile,13873.0,62485.0,144736.0,55263.0,4920.0,2699.0,,,,,662528.0,1032987.0,,1374352.0,1484465.0,,,,,168420.0,556246.0,957800.0,835987.0,1332325.0,1505542.0,1581670.0,1599948.0,1720804.0,1669830.0,402768.0,294781.0,663876.0,272531.0,1158462.0,1710111.0,2668125.0,2699593.0,2906591.0,3024204.0,2325363.0,2857579.0,2243988.0,1743610.0,2954784.0,2165000.0,3699450.0,4575623.0,5945899.0,6879064.0,7964499.0,8372649.0,,,,,,,11265.0,11225.0,8640.0,9401.0,10271.0,11007.0,10055.0,7891.0,9666.0,11068.0,8834577.0,8514176.0,6469670.0,5973672.0,7115792.0,6509986.0,7008975.0,6690168.0,7865712.0,8760684.0,8247908.0,8414443.0,7224030.0,7379016.0,8643865.0,8431647.0,9081661.0,8738191.0,9112055.0,8534886.0,8728927.0,8834152.0,7268803.0,8011023.0,8003491.0,7862000.0,8629000.0,8817700.0,9315580.0,8242300.0,9129500.0,12624600.0,17330000.0,17108000.0,18865800.0,15448000.0,14620000.0,15426000.0,14013000.0,13137000.0
CHN,chinamanchoukuomanchuria,269646.0,294694.0,304081.0,278549.0,304349.0,372673.0,630304.0,672150.0,,,819685.0,840112.0,809438.0,557595.0,620644.0,,,,,2257979.0,2418060.0,,1454598.0,,,2670000.0,3100000.0,3800000.0,4300000.0,4800000.0,6820000.0,8000000.0,31000.0,,,,,,,6000000.0,8000000.0,10000000.0,12000000.0,14000000.0,16000000.0,28000000.0,45000000.0,55000000.0,45000000.0,35000000.0,50000000.0,,,,,,,44000.0,55000.0,60000.0,66000.0,70000.0,0.0,65000.0,0.0,70000.0,75000.0,75000000.0,70000000.0,71000000.0,72000000.0,77000000.0,137830000.0,149450000.0,161420000.0,164000000.0,165000000.0,179344000.0,190558000.0,210220000.0,225990700.0,234000000.0,262099600.0,252282700.0,268612000.0,246891000.0,237230100.0,223947600.0,217014700.0,232619000.0,262719000.0,310105000.0,420492700.0,588171400.0,707073000.0,824011100.0,880171400.0,1077705100.0,1326942000.0,1309637000.0,1451011000.0,1514240000.0,1381288000.0,1280893000.0,1229373000.0,763374000.0,844356000.0
